# Cortical regions: LUT Lausanne2008 - Scale 5 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:								R	G	B	A

214		right-postcentral_13					220	12	20	0
215		right-postcentral_23					220	23	20	0
216		right-postcentral_9						220	8	20	0
217		right-postcentral_17					220	16	20	0
218		right-postcentral_30					220	20	16	0
219		right-postcentral_22					220	22	20	0
220		right-postcentral_7						220	6	20	0
221		right-postcentral_4						222	20	20	0
222		right-postcentral_5						223	20	20	0
223		right-postcentral_29					220	20	15	0
224		right-postcentral_1						220	20	20	0
225		right-postcentral_16					220	15	20	0
226		right-postcentral_14					220	13	20	0
227		right-postcentral_12					220	11	20	0
228		right-postcentral_21					220	21	20	0
229		right-postcentral_8						220	7	20	0
230		right-postcentral_10					220	9	20	0
231		right-postcentral_2						219	20	20	0
232		right-postcentral_19					220	18	20	0
233		right-postcentral_15					220	14	20	0
234		right-postcentral_28					220	20	14	0
235		right-supramarginal_19					85	160	20	0
236		right-supramarginal_10					80	161	20	0
237		right-supramarginal_11					76	160	20	0
238		right-supramarginal_13					78	160	20	0
239		right-supramarginal_18					84	160	20	0
240		right-supramarginal_20					86	160	20	0
241		right-supramarginal_8					80	158	20	0
242		right-supramarginal_4					80	154	20	0
243		right-supramarginal_15					81	160	20	0
244		right-supramarginal_9					80	159	20	0
245		right-supramarginal_3					80	153	20	0
246		right-supramarginal_14					79	160	20	0
247		right-supramarginal_16					82	160	20	0
248		right-supramarginal_2					80	152	20	0
249		right-supramarginal_6					80	156	20	0
250		right-supramarginal_12					77	160	20	0
251		right-supramarginal_1					80	160	20	0
252		right-supramarginal_7					80	157	20	0
253		right-supramarginal_5					80	155	20	0
254		right-supramarginal_17					83	160	20	0
255		right-superiorparietal_13				20	173	140	0
256		right-superiorparietal_24				20	185	140	0
257		right-superiorparietal_18				20	178	140	0
258		right-superiorparietal_10				20	170	140	0
259		right-superiorparietal_29				20	190	140	0
260		right-superiorparietal_4				20	164	140	0
261		right-superiorparietal_12				20	172	140	0
262		right-superiorparietal_15				20	175	140	0
263		right-superiorparietal_28				20	189	140	0
264		right-superiorparietal_16				20	176	140	0
265		right-superiorparietal_17				20	177	140	0
266		right-superiorparietal_7				20	167	140	0
267		right-superiorparietal_20				20	181	140	0
268		right-superiorparietal_25				20	186	140	0
269		right-superiorparietal_22				20	183	140	0
270		right-superiorparietal_9				20	169	140	0
271		right-superiorparietal_5				20	165	140	0
272		right-superiorparietal_26				20	187	140	0
273		right-superiorparietal_23				20	184	140	0
274		right-superiorparietal_2				20	162	140	0
275		right-superiorparietal_14				20	174	140	0
276		right-superiorparietal_11				20	171	140	0
277		right-superiorparietal_21				20	182	140	0
278		right-superiorparietal_19				20	179	140	0
279		right-superiorparietal_6				20	166	140	0
280		right-superiorparietal_27				20	188	140	0
281		right-superiorparietal_1				20	180	140	0
282		right-superiorparietal_3				20	163	140	0
283		right-superiorparietal_8				20	168	140	0
284		right-inferiorparietal_13				224	60	220	0
285		right-inferiorparietal_21				220	60	208	0
286		right-inferiorparietal_11				222	60	220	0
287		right-inferiorparietal_3				213	60	220	0
288		right-inferiorparietal_4				214	60	220	0
289		right-inferiorparietal_25				220	60	212	0
290		right-inferiorparietal_12				223	60	220	0
291		right-inferiorparietal_8				218	60	220	0
292		right-inferiorparietal_16				220	60	203	0
293		right-inferiorparietal_26				220	60	213	0
294		right-inferiorparietal_2				212	60	220	0
295		right-inferiorparietal_17				220	60	204	0
296		right-inferiorparietal_5				215	60	220	0
297		right-inferiorparietal_1				220	60	220	0
298		right-inferiorparietal_19				220	60	206	0
299		right-inferiorparietal_14				220	60	201	0
300		right-inferiorparietal_9				219	60	220	0
301		right-inferiorparietal_18				220	60	205	0
302		right-inferiorparietal_10				221	60	220	0
303		right-inferiorparietal_20				220	60	207	0
304		right-inferiorparietal_22				220	60	209	0
305		right-inferiorparietal_23				220	60	210	0
306		right-inferiorparietal_6				216	60	220	0
307		right-inferiorparietal_7				217	60	220	0
308		right-inferiorparietal_15				220	60	202	0
309		right-inferiorparietal_24				220	60	211	0
310		right-precuneus_2						160	140	162	0
311		right-precuneus_1						160	140	180	0
312		right-precuneus_3						160	140	163	0
313		right-precuneus_6						160	140	166	0
314		right-precuneus_19						160	140	179	0
315		right-precuneus_10						160	140	170	0
316		right-precuneus_16						160	140	176	0
317		right-precuneus_12						160	140	172	0
318		right-precuneus_22						160	140	183	0
319		right-precuneus_9						160	140	169	0
320		right-precuneus_21						160	140	182	0
321		right-precuneus_7						160	140	167	0
322		right-precuneus_15						160	140	175	0
323		right-precuneus_14						160	140	174	0
324		right-precuneus_11						160	140	171	0
325		right-precuneus_8						160	140	168	0
326		right-precuneus_20						160	140	181	0
327		right-precuneus_4						160	140	164	0
328		right-precuneus_5						160	140	165	0
329		right-precuneus_23						160	140	184	0
330		right-precuneus_18						160	140	178	0
331		right-precuneus_13						160	140	173	0
332		right-precuneus_17						160	140	177	0
333		right-cuneus_1							220	20	100	0
334		right-cuneus_2							202	20	100	0
335		right-cuneus_8							208	20	100	0
336		right-cuneus_3							203	20	100	0
337		right-cuneus_7							207	20	100	0
338		right-cuneus_6							206	20	100	0
339		right-cuneus_5							205	20	100	0
340		right-cuneus_4							204	20	100	0
341		right-pericalcarine_1					120	100	60	0
342		right-pericalcarine_5					105	100	60	0
343		right-pericalcarine_3					103	100	60	0
344		right-pericalcarine_7					107	100	60	0
345		right-pericalcarine_2					102	100	60	0
346		right-pericalcarine_6					106	100	60	0
347		right-pericalcarine_4					104	100	60	0
348		right-pericalcarine_8					108	100	60	0
349		right-lateraloccipital_18				20	28	140	0
350		right-lateraloccipital_13				20	30	138	0
351		right-lateraloccipital_12				20	30	137	0
352		right-lateraloccipital_20				20	31	140	0
353		right-lateraloccipital_1				20	30	140	0
354		right-lateraloccipital_9				20	30	134	0
355		right-lateraloccipital_15				20	30	141	0
356		right-lateraloccipital_16				20	26	140	0
357		right-lateraloccipital_23				20	34	140	0
358		right-lateraloccipital_7				20	30	132	0
359		right-lateraloccipital_3				20	30	128	0
360		right-lateraloccipital_17				20	27	140	0
361		right-lateraloccipital_14				20	30	139	0
362		right-lateraloccipital_21				20	32	140	0
363		right-lateraloccipital_10				20	30	135	0
364		right-lateraloccipital_8				20	30	133	0
365		right-lateraloccipital_4				20	30	129	0
366		right-lateraloccipital_19				20	29	140	0
367		right-lateraloccipital_6				20	30	131	0
368		right-lateraloccipital_2				20	30	127	0
369		right-lateraloccipital_5				20	30	130	0
370		right-lateraloccipital_22				20	33	140	0
371		right-lateraloccipital_11				20	30	136	0
372		right-lingual_16						241	140	140	0
373		right-lingual_8							233	140	140	0
374		right-lingual_14						239	140	140	0
375		right-lingual_4							229	140	140	0
376		right-lingual_10						235	140	140	0
377		right-lingual_13						238	140	140	0
378		right-lingual_11						236	140	140	0
379		right-lingual_9							234	140	140	0
380		right-lingual_12						237	140	140	0
381		right-lingual_3							228	140	140	0
382		right-lingual_2							227	140	140	0
383		right-lingual_7							232	140	140	0
384		right-lingual_1							225	140	140	0
385		right-lingual_6							231	140	140	0
386		right-lingual_15						240	140	140	0
387		right-lingual_17						242	140	140	0
388		right-lingual_5							230	140	140	0
389		right-fusiform_9						180	201	140	0
390		right-fusiform_2						180	194	140	0
391		right-fusiform_5						180	197	140	0
392		right-fusiform_12						180	204	140	0
393		right-fusiform_14						180	206	140	0
394		right-fusiform_8						180	200	140	0
395		right-fusiform_6						180	198	140	0
396		right-fusiform_17						180	209	140	0
397		right-fusiform_15						180	207	140	0
398		right-fusiform_11						180	203	140	0
399		right-fusiform_13						180	205	140	0
400		right-fusiform_7						180	199	140	0
401		right-fusiform_4						180	196	140	0
402		right-fusiform_3						180	195	140	0
403		right-fusiform_1						180	220	140	0
404		right-fusiform_10						180	202	140	0
405		right-fusiform_16						180	208	140	0
406		right-parahippocampal_3					20	195	60	0
407		right-parahippocampal_2					20	194	60	0
408		right-parahippocampal_1					20	220	60	0
409		right-parahippocampal_6					20	198	60	0
410		right-parahippocampal_5					20	197	60	0
411		right-parahippocampal_4					20	196	60	0
412		right-entorhinal_1						220	20	10	0
413		right-entorhinal_2						210	20	10	0
414		right-temporalpole_1					70	70	70	0
415		right-temporalpole_2					62	70	70	0
416		right-temporalpole_3					63	70	70	0
417		right-inferiortemporal_16				176	40	120	0
418		right-inferiortemporal_3				163	40	120	0
419		right-inferiortemporal_5				165	40	120	0
420		right-inferiortemporal_9				169	40	120	0
421		right-inferiortemporal_11				171	40	120	0
422		right-inferiortemporal_8				168	40	120	0
423		right-inferiortemporal_1				180	40	120	0
424		right-inferiortemporal_4				164	40	120	0
425		right-inferiortemporal_7				167	40	120	0
426		right-inferiortemporal_2				162	40	120	0
427		right-inferiortemporal_6				166	40	120	0
428		right-inferiortemporal_10				170	40	120	0
429		right-inferiortemporal_12				172	40	120	0
430		right-inferiortemporal_15				175	40	120	0
431		right-inferiortemporal_14				174	40	120	0
432		right-inferiortemporal_13				173	40	120	0
433		right-middletemporal_12					160	83	50	0
434		right-middletemporal_16					160	87	50	0
435		right-middletemporal_13					160	84	50	0
436		right-middletemporal_15					160	86	50	0
437		right-middletemporal_6					156	100	50	0
438		right-middletemporal_11					160	82	50	0
439		right-middletemporal_10					161	100	50	0
440		right-middletemporal_4					154	100	50	0
441		right-middletemporal_14					160	85	50	0
442		right-middletemporal_7					157	100	50	0
443		right-middletemporal_17					160	88	50	0
444		right-middletemporal_8					158	100	50	0
445		right-middletemporal_9					159	100	50	0
446		right-middletemporal_1					160	100	50	0
447		right-middletemporal_3					153	100	50	0
448		right-middletemporal_5					155	100	50	0
449		right-middletemporal_19					160	90	50	0
450		right-middletemporal_2					152	100	50	0
451		right-middletemporal_18					160	89	50	0
452		right-bankssts_3						25	78	40	0
453		right-bankssts_6						25	81	40	0
454		right-bankssts_2						25	77	40	0
455		right-bankssts_1						25	100	40	0
456		right-bankssts_4						25	79	40	0
457		right-bankssts_5						25	80	40	0
458		right-superiortemporal_9				140	220	209	0
459		right-superiortemporal_25				131	220	220	0
